,gene_name,corr_x,corr_y,corr_z,corr_abssum
0,Prkcq,-0.009305802,-0.076517037,0.023532087,0.109354926
1,Col5a1,-0.000585729,0.104150877,-0.047219961,0.151956567
2,Grik3,-5.62E-05,0.043566374,-0.193843275,0.2374658
3,Igfbp2,0.006371803,-0.013214019,-0.05124216,0.070827982
4,Osr1,-0.000962125,-0.030482998,-0.044769475,0.076214597
5,Syt6,-0.001716789,-0.069982658,-0.253397029,0.325096476
6,Cntnap3,0.00380982,-0.072993724,-0.203225872,0.280029417
7,Lmo3,-0.018601797,-0.059720806,-0.281498752,0.359821355
8,Ntn1,-0.000777503,-0.07665831,0.092827429,0.170263242
9,Otp,-8.37E-05,-0.138167645,0.044015724,0.182267106
10,Calb1,0.004739363,0.034272955,-0.033174579,0.072186897
11,Vwa5b1,-0.008303121,-0.070520531,-0.042254873,0.121078525
12,Ptprm,0.007630805,-0.02454734,-0.048280333,0.080458479
13,Rxfp3,-0.00153784,-0.018720982,-0.060785303,0.081044126
14,Cpne8,-0.003589447,-0.025891197,-0.101198133,0.130678777
15,Igfbp6,0.006084958,0.193508564,-0.186747948,0.386341469
16,Isl1,0.000135703,-0.156525296,-0.138939922,0.295600922
17,Shisa6,0.000978177,0.056397819,0.113316946,0.170692942
18,C230014O12Rik,-0.005958443,-0.060836823,-0.041394984,0.10819025
19,Hspg2,0.002271295,-0.006227733,-0.089377733,0.097876761
20,Pitx2,-0.002482382,-0.037682114,-0.008895179,0.049059674
21,Pparg,0.009816719,0.17267468,-0.122220893,0.304712292
22,Calb2,-0.004614214,-0.061468292,0.156575371,0.222657877
23,Cxcl14,-0.017224937,0.036054268,-0.130237142,0.183516346
24,Rgs4,-0.006890633,0.14764145,-0.368459289,0.522991373
25,Slc17a6,-0.002786899,0.003745077,0.114621267,0.121153243
26,Fstl5,-0.008931637,-0.119177834,-0.033937654,0.162047125
27,Dock5,-0.00677589,-0.124147576,0.096669691,0.227593157
28,Kcnk9,0.006858841,0.124584168,-0.053138097,0.184581106
29,Stxbp6,-0.009569775,0.055181453,-0.13538347,0.200134699
30,Nfib,-0.006941688,0.140611376,0.082430813,0.229983878
31,Gfap,-0.019573251,-0.040975982,0.06256164,0.123110873
32,Gja1,-0.003520469,-0.026908485,0.004443524,0.034872478
33,Igf1,-0.009718013,-0.00754134,-0.029823173,0.047082526
34,Ramp1,-0.005949543,0.022437335,-0.168724001,0.19711088
35,Tcf7l2,-0.015440586,0.022653372,0.053780192,0.09187415
36,Rbp4,-0.03753536,0.008071773,-0.055386964,0.100994097
37,Serpinb8,0.007354701,0.148481496,-0.137499763,0.293335959
38,Rorb,-0.010054376,0.109286883,-0.115365158,0.234706417
39,Adamts9,-0.002260906,-0.08107327,0.016720111,0.100054287
40,Ccbe1,-0.00120576,0.039897664,-0.051001632,0.092105056
41,Nos1,-0.003501428,-0.090056679,0.122599328,0.216157436
42,Emx2,-0.00803985,0.094227848,-0.154377209,0.256644907
43,Nhlh2,0.011982825,-0.032763814,0.082352623,0.127099262
44,Aqp4,-0.001244017,-0.057272188,0.199511693,0.258027898
